species,genus,family,order,year,month,day,decimalLatitude,decimalLongitude,locality,basisOfRecord,datasetName,institutionCode
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2026,1,3,22.508724,114.113266,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Centropus sinensis,Centropus,Cuculidae,Cuculiformes,2026,1,4,22.509971,114.112188,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lanius schach,Lanius,Laniidae,Passeriformes,2026,1,2,22.509062,114.114332,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Passer montanus,Passer,Passeridae,Passeriformes,2026,1,3,22.502213,113.944427,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,1,22.508157,114.113375,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,4,22.507742,114.111123,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza pusilla,Emberiza,Emberizidae,Passeriformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2026,1,1,22.511966,114.132671,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,2,22.51053,114.111568,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinago gallinago,Gallinago,Scolopacidae,Charadriiformes,2026,1,2,22.508237,114.114945,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,1,22.508968,114.113887,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,2,22.507399,114.11215,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea modesta,Ardea,Ardeidae,Pelecaniformes,2026,1,2,22.607147,113.889173,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.507894,114.111453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,3,22.507894,114.111453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2026,1,2,22.639667,113.862778,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2026,1,4,22.465261,113.995762,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aethopyga christinae,Aethopyga,Nectariniidae,Passeriformes,2026,1,4,22.464461,113.995353,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,4,22.625738,113.808395,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Dicaeum ignipectus,Dicaeum,Dicaeidae,Passeriformes,2026,1,1,22.649309,114.294375,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ixos mcclellandii,Ixos,Pycnonotidae,Passeriformes,2026,1,3,22.490764,114.222288,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa totanus,Tringa,Scolopacidae,Charadriiformes,2026,1,1,22.510303,114.039208,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinula chloropus,Gallinula,Rallidae,Gruiformes,2026,1,1,22.508215,114.113412,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2026,1,1,22.65604,114.39928,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2026,1,2,22.637928,113.864603,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phoenicurus auroreus,Phoenicurus,Muscicapidae,Passeriformes,2026,1,3,22.45548,114.048744,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,2026,1,2,22.455346,114.152605,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Milvus migrans,Milvus,Accipitridae,Accipitriformes,2026,1,2,22.601453,113.892056,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,2,22.505857,114.1099,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,2026,1,4,22.463015,113.994881,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,2026,1,2,22.506803,114.11138,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Turdus hortulorum,Turdus,Turdidae,Passeriformes,2026,1,2,22.675511,113.848758,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2026,1,1,22.523556,113.988911,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola ferreus,Saxicola,Muscicapidae,Passeriformes,2026,1,1,22.511116,114.134799,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2026,1,2,22.508815,114.113523,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Urocissa erythroryncha,Urocissa,Corvidae,Passeriformes,2026,1,4,22.464058,113.995482,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,1,22.505711,114.11178,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tachybaptus ruficollis,Tachybaptus,Podicipedidae,Podicipediformes,2026,1,2,22.631586,113.8727,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Parus minor,Parus,Paridae,Passeriformes,2026,1,1,22.638748,114.287967,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas acuta,Anas,Anatidae,Anseriformes,2026,1,4,22.464755,113.995396,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Amaurornis phoenicurus,Amaurornis,Rallidae,Gruiformes,2026,1,4,22.464581,113.995395,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,2,22.608698,113.888744,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Rostratula benghalensis,Rostratula,Rostratulidae,Charadriiformes,2026,1,2,22.50808,114.1131,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2026,1,2,22.511223,114.065992,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya baeri,Aythya,Anatidae,Anseriformes,2026,1,3,22.462264,114.160012,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Platalea leucorodia,Platalea,Threskiornithidae,Pelecaniformes,2026,1,3,22.508724,114.113266,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,1,22.506297,114.111689,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,2,22.507628,114.112364,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza tristrami,Emberiza,Emberizidae,Passeriformes,2026,1,2,22.674143,113.846978,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas acuta,Anas,Anatidae,Anseriformes,2026,1,4,22.46474,113.995453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Chloropsis hardwickii,Chloropsis,Chloropseidae,Passeriformes,2026,1,3,22.527964,114.35083,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2026,1,5,22.592356,113.988079,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa ochropus,Tringa,Scolopacidae,Charadriiformes,2026,1,2,22.453155,114.153699,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,2,22.506114,114.110177,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Orthotomus sutorius,Orthotomus,Cisticolidae,Passeriformes,2026,1,1,22.5115,114.134876,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas acuta,Anas,Anatidae,Anseriformes,2026,1,4,22.464722,113.995374,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla alba,Motacilla,Motacillidae,Passeriformes,2026,1,2,22.639517,113.863,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,3,22.508724,114.113266,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,3,22.508666,114.113241,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Falco tinnunculus,Falco,Falconidae,Falconiformes,2026,1,2,22.50798,114.112532,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Acridotheres cristatellus,Acridotheres,Sturnidae,Passeriformes,2026,1,2,22.511342,114.11496,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2026,1,2,22.639667,113.862778,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2026,1,1,22.511086,114.040686,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,1,22.508191,114.11335,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Copsychus malabaricus,Copsychus,Muscicapidae,Passeriformes,2026,1,3,22.556285,114.257222,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pandion haliaetus,Pandion,Pandionidae,Accipitriformes,2026,1,2,22.468872,114.020147,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,1,22.511235,114.113837,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Psittacula eupatria,Psittacula,Psittacidae,Psittaciformes,2026,1,1,22.523501,114.092427,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,4,22.508495,114.112957,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pernis ptilorhynchus,Pernis,Accipitridae,Accipitriformes,2026,1,1,22.832201,113.891785,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinula chloropus,Gallinula,Rallidae,Gruiformes,2026,1,2,22.508119,114.113272,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Podiceps cristatus,Podiceps,Podicipedidae,Podicipediformes,2026,1,2,22.630086,113.871161,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Prinia inornata,Prinia,Cisticolidae,Passeriformes,2026,1,2,22.508052,114.112457,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Luscinia calliope,Luscinia,Muscicapidae,Passeriformes,2026,1,1,22.510744,114.133044,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Platalea leucorodia,Platalea,Threskiornithidae,Pelecaniformes,2026,1,3,22.510527,114.11226,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Luscinia svecica,Luscinia,Muscicapidae,Passeriformes,2026,1,3,22.505494,114.110828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,1,22.460716,114.054853,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Centropus sinensis,Centropus,Cuculidae,Cuculiformes,2026,1,2,22.505331,114.110874,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,1,22.505692,114.111762,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,1,22.511184,114.113476,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Falco peregrinus,Falco,Falconidae,Falconiformes,2026,1,1,22.498766,114.045828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Copsychus saularis,Copsychus,Muscicapidae,Passeriformes,2026,1,1,22.51033,114.041955,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,3,22.508724,114.113266,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aethopyga christinae,Aethopyga,Nectariniidae,Passeriformes,2026,1,4,22.464463,113.995337,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,2,22.505148,114.110242,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Chroicocephalus ridibundus,Chroicocephalus,Laridae,Charadriiformes,2026,1,1,22.523556,113.989064,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,1,22.510557,114.113081,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,1,22.511942,114.132755,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,3,22.507894,114.111453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lanius schach,Lanius,Laniidae,Passeriformes,2026,1,1,22.462112,114.044491,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Larvivora sibilans,Larvivora,Muscicapidae,Passeriformes,2026,1,3,22.510254,114.242021,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,2,22.507553,114.111425,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Platalea minor,Platalea,Threskiornithidae,Pelecaniformes,2026,1,4,22.592553,114.049829,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,3,22.507894,114.111453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula querquedula,Spatula,Anatidae,Anseriformes,2026,1,4,22.507669,114.111775,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spodiopsar sericeus,Spodiopsar,Sturnidae,Passeriformes,2026,1,5,22.545887,114.007194,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2026,1,3,22.459391,114.246485,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Zosterops erythropleurus,Zosterops,Zosteropidae,Passeriformes,2026,1,3,22.581963,114.370389,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lanius schach,Lanius,Laniidae,Passeriformes,2026,1,2,22.632097,113.873108,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Dendrocitta formosae,Dendrocitta,Corvidae,Passeriformes,2026,1,1,22.508867,114.243505,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,4,22.505974,114.111158,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura punctulata,Lonchura,Estrildidae,Passeriformes,2026,1,3,22.507824,114.111878,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,4,22.50815,114.110901,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,3,22.507894,114.111453,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,2,22.509118,114.11592,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa erythropus,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.457431,114.046339,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa totanus,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.458379,114.046024,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinago gallinago,Gallinago,Scolopacidae,Charadriiformes,2026,1,1,22.508182,114.113362,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,1,22.505146,114.110633,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,2,22.508237,114.114945,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,1,22.522044,113.986142,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas acuta,Anas,Anatidae,Anseriformes,2026,1,4,22.464724,113.995404,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Dicrurus hottentottus,Dicrurus,Dicruridae,Passeriformes,2026,1,1,22.512025,114.132289,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,3,22.458244,114.046089,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2026,1,4,22.506716,114.110166,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,3,22.457439,114.046398,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.457653,114.046256,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa totanus,Tringa,Scolopacidae,Charadriiformes,2026,1,3,22.457432,114.046356,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinula chloropus,Gallinula,Rallidae,Gruiformes,2026,1,3,22.456685,114.046583,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Circus spilonotus,Circus,Accipitridae,Accipitriformes,2026,1,1,22.498766,114.045828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2026,1,2,22.638817,113.863617,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,2,22.506654,114.110143,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes,2026,1,1,22.559576,114.114166,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,1,22.45903,114.050661,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla alba,Motacilla,Motacillidae,Passeriformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2026,1,3,22.507645,114.110906,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,3,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,4,22.508233,114.112315,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya fuligula,Aythya,Anatidae,Anseriformes,2026,1,3,22.467449,114.046173,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,3,22.468827,114.047466,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2026,1,3,22.45693,114.046398,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Milvus migrans,Milvus,Accipitridae,Accipitriformes,2026,1,2,22.514333,114.070534,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,11,22.472393,114.00706,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya baeri,Aythya,Anatidae,Anseriformes,2026,1,10,22.491178,114.081179,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,10,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,11,22.574858,113.847853,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,13,22.52536,114.143324,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Merops philippinus,Merops,Meropidae,Coraciiformes,2026,1,10,22.54286,114.05956,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya nyroca,Aythya,Anatidae,Anseriformes,2026,1,9,22.530749,114.154714,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,3,22.525094,114.003114,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,11,22.469712,114.009564,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,22,22.679625,114.202187,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,2026,1,26,22.541926,114.104147,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,9,22.54198,114.164834,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla alba,Motacilla,Motacillidae,Passeriformes,2026,1,9,22.46829,114.079075,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,2026,1,9,22.459824,114.156294,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Merops philippinus,Merops,Meropidae,Coraciiformes,2026,1,8,22.536438,113.885052,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,5,22.679428,114.199945,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2026,1,11,22.509955,114.113966,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2026,1,13,22.492768,114.178342,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
