species,year,month,day,decimalLatitude,decimalLongitude,locality,quality_grade,source,photo_url
Himantopus himantopus,0,2,0,22.5286383784,113.985616146,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Gallinago gallinago,0,2,0,22.528995127,113.9869035988,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323397/medium.jpg
Amaurornis phoenicurus,0,2,0,22.5289951283,113.9852298993,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/348262284/medium.jpg
Amaurornis phoenicurus,0,2,0,22.5285194505,113.9845845224,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/348262284/medium.jpg
Motacilla alba,0,2,0,22.5284620391,113.9855555488,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Ardea intermedia,0,2,0,22.5286998802,113.9861241953,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/451958732/medium.jpg
Ardea intermedia,0,2,0,22.5281845536,113.9865962669,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/451958732/medium.jpg
Parus cinereus,0,2,0,22.5287504678,113.9888922374,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/206751160/medium.jpg
Pterorhinus perspicillatus,0,2,0,22.529245981,113.9886562057,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Eophona personata,0,3,0,22.5740058538,114.1113586717,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/197330111/medium.jpg
Lalage melaschistos,0,3,0,22.4926146237,114.0336367192,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/182703112/medium.jpg
Motacilla flava,0,3,0,22.4937314681,114.1079780625,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/393839170/medium.jpg
Pterorhinus perspicillatus,2026,3,7,22.4694366667,114.0052416667,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Motacilla alba,2026,3,7,22.4694366667,114.0051888833,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Urocissa erythroryncha,2026,3,7,22.4703583333,114.005775,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/64874232/medium.jpg
Pericrocotus speciosus,2026,3,7,22.46993,114.0048222167,"Tin Shui Wai, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/470732717/medium.jpg
Eumyias thalassinus,0,3,0,22.5174008379,114.1396369158,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/175806086/medium.jpg
Gracupica nigricollis,0,3,0,22.5339115505,113.9569440597,中国广东省深圳市南山区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/146525/medium.jpg
Monticola gularis,2026,3,0,22.5931419727,113.8621604789,"Tiezaishan Gongyuan Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://static.inaturalist.org/photos/58275167/medium.jpg
Thinornis dubius,2026,3,0,22.7726204949,113.9617718813,"Guochang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28895106/medium.jpg
Cacomantis merulinus,2026,3,0,22.7726204949,113.9617718813,"Guochang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://static.inaturalist.org/photos/509093541/medium.jpg
Glareola maldivarum,2026,3,0,22.7726204949,113.9617718813,"Guochang Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/269005729/medium.jpeg
Amaurornis phoenicurus,2026,3,28,22.4905833333,114.0435195,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/348262284/medium.jpg
Ardea cinerea,2026,3,28,22.4946866667,114.0473861667,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Pterorhinus perspicillatus,2026,3,28,22.4940083333,114.0458221667,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Pycnonotus sinensis,2026,3,28,22.4928866667,114.0440138333,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/59227685/medium.jpeg
Platalea minor,2026,3,28,22.4779769046,114.0537315103,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/365947667/medium.jpg
Recurvirostra avosetta,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323031909/medium.jpg
Pluvialis squatarola,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/10603462/medium.jpg
Ardea alba,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Egretta garzetta,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Ardea cinerea,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Ardeola bacchus,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Numenius arquata,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/187467671/medium.jpg
Numenius arquata,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/187467671/medium.jpg
Chroicocephalus ridibundus,2026,3,7,22.4987641395,114.0458274633,Hong Kong,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/198109587/medium.jpg
Tringa nebularia,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/52660452/medium.jpg
Centropus sinensis,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/50398236/medium.jpg
Spatula clypeata,2026,3,7,22.4987641395,114.0458274633,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Tringa nebularia,2026,3,20,22.4724716667,114.00705,"香港濕地公園, 元朗, 新界, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/52660452/medium.jpg
Motacilla alba,0,3,0,22.4580382737,114.0460623139,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Egretta garzetta,0,3,0,22.4592185884,114.0457103202,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Gallinula chloropus,0,3,0,22.4592291999,114.0457762298,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/171773229/medium.jpg
Ardea alba,0,3,0,22.459107112,114.0457441701,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Spatula clypeata,0,3,0,22.4588840846,114.0458660378,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Actitis hypoleucos,0,3,0,22.4587309478,114.0458364028,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/405355875/medium.jpg
Numenius madagascariensis,0,3,0,22.4871376343,114.1543880473,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/422481739/medium.jpg
Calidris canutus,0,3,0,22.5507163715,114.0906791915,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/198196733/medium.jpeg
Synthliboramphus antiquus,0,3,0,22.487211113,113.9512078693,中国广东省深圳市南山区,research,iNaturalist,https://static.inaturalist.org/photos/283483165/medium.jpg
Dicaeum minullum,0,3,0,22.6389075354,114.2417434844,中国广东省深圳市龙岗区,research,iNaturalist,https://static.inaturalist.org/photos/127181528/medium.jpg
Pomatorhinus ruficollis,0,3,0,22.6389077371,114.241683023,中国广东省深圳市龙岗区,research,iNaturalist,https://static.inaturalist.org/photos/40675428/medium.jpg
Himantopus himantopus,2026,3,29,22.5056049722,114.1111819722,香港古洞振興臺D座,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Phalacrocorax carbo,0,3,0,22.45715,114.0463111111,香港南生圍,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Tringa ochropus,2025,3,24,22.7489188441,113.9358800277,"CN 广东省 深圳市, PWXP+H9C光明区 630, 中国518107",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262067607/medium.jpg
Streptopelia orientalis,2025,3,14,22.5595047701,114.0744442865,中国深圳市福田区我也不知道 邮政编码: 518026,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/64197228/medium.jpg
Otus lettia,2026,3,25,22.5493664,114.2262876,中國深圳市盐田区沙頭角口岸,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/44097511/medium.jpg
Chalcophaps indica,2026,3,6,22.5176422,114.1723603,香港坪輋馬尾下,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/90707654/medium.jpg
Acridotheres cristatellus,2026,3,7,22.7369733333,114.039625,"Changmao 1st Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/454090450/medium.jpeg
Pterorhinus pectoralis,2025,3,19,22.5595047701,114.0744442865,中国深圳市福田区我也不知道 邮政编码: 518026,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/23848292/medium.jpg
Anas platyrhynchos,2026,3,26,22.8339942425,113.9193710242,"Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/medium.jpg
Corvus torquatus,0,3,0,22.4880207545,114.0350792298,香港米埔,research,iNaturalist,https://static.inaturalist.org/photos/172979004/medium.jpg
Anthus hodgsoni,0,3,0,22.4882179737,114.0419645202,香港米埔,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/131708891/medium.jpg
Pycnonotus jocosus,2026,3,23,22.46400632,114.1078813376,"Lam Tsuen, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/291201941/medium.jpg
Phoenicurus auroreus,2026,3,29,22.4939992124,114.0457860638,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/116146365/medium.jpg
Phoenicurus auroreus,2026,3,22,22.4875466304,114.0418705361,"Mai Po, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/116146365/medium.jpg
Phylloscopus fuscatus,2026,3,7,22.4924390862,114.0446843529,"Yuen Long, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/457442054/medium.jpg
Tachyspiza virgata,0,3,0,22.5262935508,114.166774489,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/66481205/medium.jpg
Leiothrix argentauris,0,3,0,22.5501930711,114.1284635307,,research,iNaturalist,https://static.inaturalist.org/photos/362809991/medium.jpg
Alcedo atthis,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/61266631/medium.jpg
Saxicola stejnegeri,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Thinornis dubius,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28895106/medium.jpg
Gallinago gallinago,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323397/medium.jpg
Prinia inornata,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/335903437/medium.jpeg
Saxicola stejnegeri,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Himantopus himantopus,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Saxicola stejnegeri,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137327314/medium.jpg
Motacilla tschutschensis,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Tringa glareola,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Himantopus himantopus,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Actitis hypoleucos,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/405355875/medium.jpg
Himantopus himantopus,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Recurvirostra avosetta,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323031909/medium.jpg
Anas crecca,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://static.inaturalist.org/photos/112626129/medium.jpg
Pterorhinus perspicillatus,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/555195/medium.jpg
Spatula clypeata,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/336986640/medium.jpg
Ardea cinerea,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Halcyon smyrnensis,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://static.inaturalist.org/photos/294107276/medium.jpeg
Amaurornis phoenicurus,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/348262284/medium.jpg
Motacilla alba,0,3,0,22.5,114.1166667,Long Valley上水香港,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Aethopyga christinae,2026,3,28,22.5816109924,114.205166,广东省深圳市罗湖区海博林广场广东梧桐山风景名胜区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/14518145/medium.jpg
Platalea minor,2026,3,23,22.5246468873,113.9252465793,"Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/365947667/medium.jpg
Cyanopica cyanus,2026,3,0,22.4737713275,114.2942310019,"Tai Po, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/442589325/medium.jpeg
Himantopus himantopus,2026,3,0,22.4605592294,114.0379588539,"Nam Sang Wai Wetland , HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Egretta garzetta,2026,3,0,22.4605592294,114.0379588539,"Nam Sang Wai Wetland , HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Anthus cervinus,0,3,0,22.5092131781,114.1129063572,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/96825051/medium.jpg
Phylloscopus fuscatus,0,3,0,22.5086184873,114.1132925953,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/457442054/medium.jpg
Prinia inornata,0,3,0,22.5084995488,114.1131209339,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/335903437/medium.jpeg
Glareola maldivarum,0,3,0,22.5093717618,114.1135500874,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/269005729/medium.jpeg
Anthus hodgsoni,0,3,0,22.50889601,114.1129063572,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/131708891/medium.jpg
Spatula querquedula,0,3,0,22.5086581334,114.1131638493,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/188324274/medium.jpg
Motacilla tschutschensis,0,3,0,22.5084995488,114.1134642567,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Ardea coromanda,0,3,0,22.5093014175,114.1127303368,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/77613552/medium.jpg
Dicrurus macrocercus,0,3,0,22.5087067271,114.1128161675,"Sheung Shui, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/251320608/medium.jpg
Hirundo rustica,0,3,0,22.5089446045,114.1128161671,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/122469139/medium.jpg
Tringa glareola,0,3,0,22.508792123,114.1130522019,"Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Tringa glareola,0,3,0,22.5087952,114.1129771,"Long Valley, Sheung Shui, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323621890/medium.jpg
Pterorhinus pectoralis,2026,3,21,22.5730231037,114.2061437666,广东省深圳市盐田区好汉路广东梧桐山风景名胜区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/23848292/medium.jpg
Bambusicola thoracicus,2026,3,21,22.5674342541,114.1999321058,"Shenzhen, CN-GD, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/134134944/medium.jpg
Cisticola juncidis,2026,3,21,22.53107,114.089665,"Songzi Agricultural Machinery Bur., 华强商业圈 China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/180576291/medium.jpg
Hirundo rustica,2026,3,21,22.5321616667,114.089145,"Songzi Agricultural Machinery Bur., 华强商业圈 China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/122469139/medium.jpg
Anthus cervinus,2026,3,21,22.5321616667,114.089145,"Songzi Agricultural Machinery Bur., 华强商业圈 China",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/96825051/medium.jpg
Phylloscopus coronatus,2026,3,30,22.5972030168,113.8531678666,"Xin'an, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/139463428/medium.jpg
Ficedula narcissina,2026,3,30,22.5975400344,113.8535502834,"Xin'an, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/137007417/medium.jpg
Gallicrex cinerea,2026,3,22,22.5107142621,114.1148944066,"Sheung Shui, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/1513781/medium.jpg
Spatula querquedula,2026,3,22,22.5100699953,114.1528355133,"Kwan Tei, Fanling, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/188324274/medium.jpg
Gallicrex cinerea,2026,3,22,22.5106986326,114.1150942139,"Sheung Shui, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/1513781/medium.jpg
Rostratula benghalensis,2026,3,22,22.4727991074,114.0818343747,"Tam Mei, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/7698682/medium.jpg
Rostratula benghalensis,2026,3,22,22.5092997453,114.114914633,"Sheung Shui, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/7698682/medium.jpg
Rostratula benghalensis,2026,3,22,22.5090061892,114.1141675558,"Sheung Shui, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/7698682/medium.jpg
Spilopelia chinensis,0,3,0,22.7008050027,114.1030036604,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/230618423/medium.jpg
Ardeola bacchus,0,3,0,22.7002457814,114.1028775966,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Pycnonotus jocosus,0,3,0,22.7007456164,114.1023867523,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/291201941/medium.jpg
Motacilla alba,0,3,0,22.7007394509,114.1018512046,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Copsychus saularis,0,3,0,22.703198934,114.0972320678,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Parus cinereus,0,3,0,22.5623233541,114.1448874488,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/206751160/medium.jpg
Ardeola bacchus,0,3,0,22.5617759537,114.143539963,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Ardeola bacchus,0,3,0,22.5615406451,114.143373666,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Copsychus saularis,0,3,0,22.5608734677,114.1437596258,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Ardeola bacchus,0,3,0,22.5615989583,114.1434091691,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Ardea alba,0,3,0,22.561657061,114.1434273102,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/56653891/medium.jpg
Gallinula chloropus,0,3,0,22.561800723,114.1433012464,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/171773229/medium.jpg
Egretta garzetta,0,3,0,22.5619241055,114.1432560069,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/205293169/medium.jpg
Pycnonotus jocosus,0,3,0,22.5607754905,114.1434060751,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/291201941/medium.jpg
Copsychus saularis,0,3,0,22.5612421934,114.1426074483,"Luohu District, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://static.inaturalist.org/photos/62295683/medium.jpg
Motacilla alba,0,3,0,22.7007394509,114.1020711457,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/39786089/medium.jpg
Spilopelia chinensis,0,3,0,22.7009211004,114.1012108675,"Longgang, Shenzhen, Guangdong Province, Китай",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/230618423/medium.jpg
Gallinago gallinago,2026,3,22,22.5061179631,114.1191980955,"Hong Kong SAR, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/323397/medium.jpg
Phalaropus lobatus,2026,3,15,22.5916389687,114.4968611667,"Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/438438392/medium.jpeg
Glareola maldivarum,2026,3,15,22.5930032134,114.4972192758,"Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/269005729/medium.jpeg
Picumnus innominatus,2026,3,14,22.5336839942,114.2458991037,"Shuen Wan, Tai Po, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/35540695/medium.jpg
Phylloscopus proregulus,2026,3,14,22.5799580031,114.1964957117,"仙桐北路, Shenzhen, Guangdong, CN",research,iNaturalist,https://static.inaturalist.org/photos/36967573/medium.jpeg
Phyllergates cucullatus,2026,3,14,22.5908447168,114.1891372017,"Wangtong New Road, Shenzhen, Guangdong, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/19782225/medium.jpg
Ardeola bacchus,2026,3,21,22.5483,114.0959471667,"园岭, 深圳市, 广东省, CN",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Anthus hodgsoni,0,3,0,22.518895,114.216442,香港鹿頸,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/131708891/medium.jpg
Rostratula benghalensis,2026,3,28,22.5689648276,114.0393927813,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/7698682/medium.jpg
Motacilla tschutschensis,2026,3,28,22.5130926009,114.0997080982,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Aethopyga christinae,0,3,0,22.4558824354,114.2354483853,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/14518145/medium.jpg
Spilornis cheela,0,3,0,22.5836680068,114.1250303927,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/483635244/medium.jpeg
Himantopus himantopus,2026,3,11,22.46917,114.0302083333,"Nam Sang Wai Rd, Yuen Long, New Territories, HK",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20455456/medium.jpg
Actitis hypoleucos,0,3,0,22.4604451545,114.0447885476,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/405355875/medium.jpg
Motacilla tschutschensis,0,3,0,22.4604451545,114.0447885476,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/30334980/medium.jpg
Lonchura punctulata,0,3,0,22.4604206038,114.0448153697,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/161725682/medium.jpeg
Prinia inornata,0,3,0,22.4604451545,114.0447885476,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/335903437/medium.jpeg
Gallinago stenura,0,3,0,22.4604451545,114.0447885476,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/2741972/medium.jpg
Ardea cinerea,0,3,0,22.4604451545,114.0447885476,香港元朗,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
